,Baetis fuscatus,Limnodrilus gotoi,Hydropsyche kozhantschikovi,Teloganopsis punctisetae,Ephemera orientalis,pH,Conductivity,DO,BOD,COD,SS,TN,TP
observation48,1,0,1,1,0,8.15,146,8.4,0.75,1.95,4.9,4.3645,0.039
observation49,1,0,1,0,0,8.4,196,10.3,0.9,2,1.2,3.951,0.0255
observation50,1,0,1,0,0,8.35,152,8.95,0.4,1.9,0.6,4.996,0.022
observation51,1,1,0,1,0,8.575,117.625,10.925,0.675,4.0125,36.2625,2.988,0.095
observation52,1,0,1,1,0,8.9,146.7142857,10.92857143,0.728571429,2.757142857,2.7,3.349428571,0.027285714
observation53,1,1,1,1,1,8.485714286,120.8571429,10.81428571,0.757142857,2.742857143,3.428571429,3.212428571,0.025857143
observation54,1,1,1,1,1,8.3375,139.75,10.425,0.4875,3.2625,2.925,3.953625,0.028875
observation55,0,0,1,1,0,8.25,106.125,12.2875,0.725,2.9625,5.075,2.448875,0.024125
observation56,1,1,1,1,0,8.514285714,161.8571429,11.18571429,0.528571429,2.928571429,2.571428571,3.436571429,0.026
observation57,1,0,1,1,0,8.822222222,121.3333333,11.36666667,1.044444444,3.188888889,5.166666667,2.359555556,0.027777778
observation58,1,1,1,1,0,8.385714286,147.2857143,10.67142857,0.8,3.871428571,4.957142857,3.935,0.019142857
observation59,1,1,1,1,0,8.177777778,139.4444444,11.35555556,0.711111111,2.6,4.011111111,2.731777778,0.016555556
observation60,1,1,1,1,0,8.314285714,173.1428571,11.34285714,0.485714286,2.528571429,2.8,3.668285714,0.012428571
observation61,1,1,1,1,1,8.0625,128,11.05,0.75,2.875,6.675,2.95175,0.029375
observation62,1,1,1,1,1,8.671428571,164.7142857,11.57142857,0.628571429,2.585714286,7.642857143,3.580714286,0.031
observation63,1,1,1,1,0,8.9125,158.375,10.8375,0.9125,2.9875,3.55,2.911875,0.0295
observation64,1,0,1,1,0,8.3625,162.625,10.4625,0.4625,2.3625,1.9625,4.83075,0.0285
observation65,1,1,0,1,1,8.1,159.5,12.6,0.35,2.3,2.75,3.8455,0.0495
observation66,1,1,1,1,0,8.65,196.5,11.5,0.7,3.75,4.55,2.783,0.035
observation67,1,1,1,1,1,8.05,155.5,11.65,0.75,2.7,2.65,3.2795,0.033
observation68,1,1,1,1,0,7.85,188.5,10.75,1,1.8,2,3.0755,0.012
observation69,1,1,1,1,0,8.45,151.5,11.45,0.85,2.75,2.3,2.6935,0.0155
observation70,1,1,1,1,1,8.2,189,8.9,1.55,2.5,3.9,3.8765,0.0315
observation71,1,1,1,1,1,8.45,127,10.9,1.15,3.2,3.35,2.612,0.0115
observation72,1,0,1,1,1,8.2,168,9.45,1,2.2,3.55,3.1555,0.01
observation73,1,0,0,1,1,8.6,168.5,11.05,1.25,3.05,2.45,2.343,0.0135
observation74,1,0,1,1,1,8.8,201,9.85,0.9,3.7,1.65,3.1935,0.013
observation75,1,1,1,1,1,8.4,162.5,12.5,0.75,2,5.65,2.5835,0.0215
observation76,1,0,1,1,1,8.8,182,9.85,1.2,2.2,4.7,3.5525,0.0225
observation77,0,1,0,0,0,8.85,212,12.1,1.3,4.85,22.65,2.581,0.058
observation78,0,1,0,0,0,8.2,179.5,9.6,0.5,2.2,7,2.95,0.0325
observation79,1,1,1,1,0,8.3,291,11.85,0.25,2.25,1.15,4.7025,0.0075
observation80,1,1,1,1,0,8.45,273,13.4,0.45,1.4,2.4,2.5105,0.0175
observation81,1,1,0,1,0,8.1,287,9.6,0.6,2.1,7.8,3.92,0.0255
observation82,1,1,1,1,0,7.65,322.5,10.8,0.75,1.1,1.25,3.181,0.01
observation83,1,0,1,1,0,8.35,278,11.25,0.45,1.55,1.8,2.809,0.0135
observation84,1,1,1,1,0,8,281,10,0.65,1.8,1.25,3.8195,0.026
observation85,0,0,1,1,0,8.45,252,11.55,0.8,1.95,1.25,2.832,0.0095
observation86,1,1,1,1,0,8.15,284.5,12.2,1,1.85,2.55,3.3365,0.006
observation87,1,0,0,1,1,8.3,271,11.35,0.7,2,2.1,2.3845,0.005
observation88,1,0,1,1,0,8.8,329,10.9,0.8,2.8,1.65,3.4835,0.015
observation89,1,0,1,1,1,8.35,313,12.7,0.8,3.35,2.55,3.061,0.013
observation90,1,1,1,1,1,8.6,332,11.2,0.7,1.2,3.5,3.454,0.007
observation91,1,1,0,1,0,8.2,353.5,12.15,0.95,1.45,1.2,2.3455,0.0105
observation92,1,1,1,1,1,8.45,358,10.55,0.55,1.4,1.55,3.308,0.0225
observation93,1,1,0,1,0,8.25,188.5,11.2,0.35,2.35,1.95,3.8425,0.1315
observation94,1,0,1,1,0,8.85,227,13.3,0.45,2.45,3.6,2.6945,0.026
observation95,1,0,1,1,0,8.05,157.5,9.95,0.8,2.15,9.55,3.4525,0.0325
observation96,1,1,1,1,0,7.9,201.5,11.1,1.3,1.65,2.15,3.141,0.0095
observation97,1,1,1,1,0,9.05,127.5,12.5,1.05,3.6,2.35,2.592,0.017
observation98,1,1,1,1,1,8.4,188,8.55,0.6,2.55,11.5,3.8805,0.032
observation99,0,1,1,1,1,8.7,128.5,10.9,1,2.95,3.85,2.6875,0.012
observation100,1,0,1,1,0,8.3,166,10.1,0.95,2.35,3.9,3.191,0.0165
observation101,1,0,1,1,0,8.7,170.5,11.85,1.4,3.6,2.3,2.4745,0.012
observation102,1,0,1,1,0,8.9,200.5,10.75,0.75,3.75,1.55,3.198,0.0135
observation103,1,1,1,1,1,8.45,176.5,12.8,0.8,2.6,7,2.6235,0.024
observation104,1,0,1,1,0,8.95,180.5,10.1,1.15,2.2,4.35,2.9785,0.0225
observation105,1,0,0,1,0,9.05,210.5,12.45,1.3,2.7,1.75,2.4835,0.018
observation106,1,0,1,1,0,8.35,183,9.8,0.3,1.9,7.4,2.868,0.0395
observation107,1,1,1,0,1,8.45,184.5,12.95,0.55,2.45,1.95,3.543,0.0105
observation108,1,0,1,1,0,8.85,225,13.1,0.55,2.65,3.8,2.511,0.0205
observation109,1,0,1,1,0,8.65,174,11.7,1.15,2.85,8.5,3.184,0.0205
observation110,1,1,1,1,0,7.9,217.5,10.7,1.35,1.4,2.15,3.1075,0.0105
observation111,1,1,1,1,0,8.6,146,11.7,1.1,2.65,2.35,2.5445,0.0115
observation112,1,1,1,1,1,8,208.5,10.1,1.1,2.45,3.95,3.571,0.0275
observation113,1,1,1,1,1,8.5,142.5,11.15,1.55,3.55,3.7,2.6435,0.013
observation114,1,1,1,1,1,8.15,191.5,10.45,1.2,2,4.1,3.017,0.012
observation115,1,0,1,1,1,8.55,228.5,11.8,1.5,3.75,4.25,2.721,0.0095
observation116,1,0,1,1,0,9.05,221.5,10.4,1.4,3.9,1.65,3.2595,0.013
observation117,1,1,1,1,0,8.55,184,13.7,0.65,2.95,8.25,2.6935,0.0175
observation118,1,1,1,1,1,9.25,199.5,11.05,1.15,2.1,2.45,3.3265,0.0245
observation119,0,1,0,0,1,8.9,243.5,12.55,1.3,2.45,1.2,2.505,0.008
observation120,1,1,1,1,0,8.35,203,10.65,0.9,2.8,5.15,2.778,0.0355
observation121,1,1,1,0,1,8,397.5,11.65,0.35,1.85,2,3.67,0.0275
observation122,1,0,1,0,0,8.15,348.5,14.5,0.45,1.4,1,2.6535,0.0175
observation123,1,0,1,0,0,7.75,375.5,11.75,0.35,1.8,5.2,2.9925,0.0295
observation124,1,0,1,0,0,7.55,434.5,10.9,0.7,1,1.95,2.942,0.01
observation125,1,1,0,0,0,8.05,337.5,11.7,0.85,1.45,3.75,2.1855,0.008
observation126,1,1,1,0,0,7.9,384,8.95,0.8,2.05,1.15,3.379,0.027
observation127,1,1,1,1,1,8.1,316.5,11.2,1.15,2.75,2.95,2.2995,0.0105
observation128,1,1,1,1,1,8.05,335.5,12.05,0.9,2.15,20.1,2.0325,0.0135
observation129,1,1,0,0,0,7.95,325,11.6,0.8,2.05,2.05,3.243,0.018
observation130,1,1,1,1,0,8.35,396,9.95,0.65,1.95,0.55,2.447,0.015
observation131,0,1,0,0,1,8.25,353.5,11.25,0.9,2.75,3.6,2.722,0.1785
observation132,1,0,1,1,1,8.35,352,10.55,1.2,1.6,1.15,3.2555,0.0245
observation133,1,0,0,1,0,8.5,409,11.6,1.2,1.55,1.8,2.136,0.0085
observation134,0,0,1,1,0,8.15,346.5,10.05,0.95,0.65,0.75,2.009,0.0085
observation135,1,1,0,1,0,7.45,230.5,11,0.25,2.15,2.25,3.382,0.0155
observation136,1,1,1,1,0,8.65,231.5,11.1,0.6,3.25,4.35,3.788,0.028
observation137,1,0,1,1,0,8.5,205,11.35,0.3,1.8,2.85,3.414,0.0145
observation138,1,0,0,1,0,7.3,255,10.1,0.8,2.05,1.45,3.0125,0.033
observation139,1,1,1,1,0,8.35,221,11.3,1,2.35,2.7,2.3265,0.0125
observation140,1,0,0,1,0,8.3,257.5,11.6,1.05,1.85,3.35,3.2145,0.0075
observation141,1,1,1,1,0,8.55,198.5,12,1.35,2.85,5.1,2.4185,0.011
observation142,1,1,1,1,0,8.35,217.5,10,1.15,2.75,3.15,2.9395,0.01
observation143,1,1,1,1,1,8.3,224,12.5,0.95,2.6,2.35,2.729,0.013
observation144,1,1,1,1,1,8.15,216,9.2,0.85,3.7,1.25,3.2995,0.017
observation145,1,0,1,1,0,8.65,255.5,9.5,0.9,1.85,4.15,3.571,0.024
observation146,1,1,0,1,1,8.55,225.5,9.65,1.6,1.9,8.85,2.677,0.031
observation147,1,1,1,1,1,8.5,276,12.25,0.85,2.2,1.1,2.352,0.015
observation148,1,0,0,1,0,8.4,269,10.2,0.25,1.95,1.3,2.656,0.016
observation149,1,1,0,1,0,8.1,282,10.75,0.5,1.65,1.4,3.5805,0.0075
observation150,1,0,1,1,0,8.7,286,8.65,0.55,1.65,0.7,2.576,0.0095
observation151,1,0,1,1,0,8.1,273.5,11.1,0.8,1.8,9.1,3.2095,0.024
observation152,1,0,1,1,0,8.45,257,10.15,0.65,1.45,1.5,2.634,0.0055
observation153,1,1,0,0,1,8.45,227.5,10.6,0.4,1.15,0.95,2.459,0.0055
observation154,1,1,1,1,0,8.6,233.5,10.95,0.5,1.3,1.15,2.502,0.012
observation155,1,1,1,1,0,8.4,241.5,11,0.9,1.55,0.75,1.7445,0.005
observation156,1,0,0,1,1,8.2,268.5,10.85,0.85,1.05,1.7,3.3805,0.007
observation157,1,1,1,1,1,7.85,250,8.95,1,1.55,1.5,1.9505,0.01
observation158,1,0,0,1,1,8.05,359,10.6,0.65,0.95,2,1.759,0.0145
observation159,1,0,1,1,0,7.85,335,11.05,0.85,1.6,0.3,2.382,0.005
observation160,0,1,0,1,1,8.15,358.5,10.5,1,1.05,0.4,1.351,0.007
observation161,1,1,0,0,0,8.2,316,10.55,0.45,1.55,0.8,1.7835,0.004
observation162,1,0,1,0,0,7.75,343,9.7,0.75,1.3,1.7,2.8925,0.0115
observation163,1,1,0,1,1,7.85,239,10.7,0.4,2.45,2.45,3.5105,0.0245
observation164,1,1,1,1,0,8.55,231.5,11,0.45,3.3,3.9,3.824,0.0225
observation165,1,0,1,1,1,8.25,208,11.1,0.75,2,2.55,3.4605,0.014
observation166,1,1,1,1,0,7.35,259.5,10.15,0.65,2.15,1.3,3.0705,0.0225
observation167,1,1,0,1,1,8.3,223,12.4,0.8,3.45,2.55,2.3405,0.012
observation168,1,0,1,1,0,8.15,257.5,11.55,0.9,2.05,3.5,2.8055,0.01
observation169,1,0,1,1,0,8.5,195.5,10.75,1.2,2.5,4.3,2.3225,0.0105
observation170,1,1,1,1,0,8.25,218,9.85,1.05,2.9,3.1,2.83,0.0105
observation171,1,1,0,1,0,7.6,232,12,1.15,2.9,2.55,2.6055,0.0155
observation172,1,1,1,1,1,8.05,210.5,8.55,1.25,4.5,1.5,3.2885,0.0085
observation173,1,1,1,1,0,8.5,258,9.85,1.1,2.1,3.85,2.503,0.0205
observation174,1,1,0,1,1,8.3,226,9.3,1.25,2.8,11.8,3.164,0.029
observation175,1,1,0,0,0,8.35,274,11.05,1.3,3.95,2.85,2.482,0.0145
observation176,1,1,1,1,1,8.35,275,10.75,0.55,2.5,1.7,2.8905,0.0125
observation177,1,0,1,1,1,8.5,253,11.45,0.6,2.75,1.45,2.6945,0.008
observation178,1,0,1,1,0,8.55,244,10.6,1.35,2.15,2.2,3.6995,0.016
observation179,0,1,0,0,1,8.35,276,11.6,1,2.1,1.05,2.311,0.012
observation180,1,0,0,0,0,8.4,268.5,9.8,0.6,1.9,1.6,2.6535,0.0155
observation181,1,0,1,1,0,8.35,254.5,10.15,1.1,2.55,1.45,1.9655,0.03
observation182,1,1,1,1,0,8.6,274.5,10.9,0.8,2.6,1.25,2.589,0.0175
observation183,1,0,0,0,0,8.3,246,10.5,1.1,3.3,4.65,2.8945,0.024
observation184,1,1,0,1,1,8.5,223,10.5,0.35,4.6,30.5,3.011,0.033
observation185,0,1,0,1,0,8,126,10.65,0.65,1.6,1.1,2.8485,0.026
observation186,1,0,1,0,0,8.45,156,8.9,0.95,2.3,2.4,3.027,0.0215
observation187,1,0,1,1,0,8.45,155.5,10.55,0.95,1.35,1.3,3.4355,0.0155
observation188,1,1,1,1,0,8.15,117,10.85,0.55,1.8,4.7,2.7865,0.0195
observation189,1,1,1,1,0,8.15,104,10.75,0.85,1.6,2.05,2.5945,0.023
observation190,1,1,1,1,0,8.65,134.5,8.9,0.95,1.9,2.9,2.8375,0.022
observation191,0,0,1,1,0,8.3,128.5,10.9,1.3,2.25,5.75,2.315,0.015
observation192,1,0,1,1,1,8.3,171,11,0.95,1.65,1.9,3.732,0.0115
observation193,1,1,1,1,0,7.9,127.5,9.5,1,1.75,2.9,2.7685,0.0145
observation194,1,1,0,1,1,8.55,184.5,9.65,0.85,2.05,6.8,3.499,0.0195
observation195,1,1,1,1,1,7.55,136,10.6,0.85,1.6,2.6,2.829,0.0175
observation196,1,0,1,1,0,8.3,166.5,8.55,1.2,1.9,8.1,3.805,0.03
observation197,1,0,1,1,1,8.55,199.5,10.75,1.2,2.35,6.3,3.311,0.0265
observation198,0,0,1,1,1,8.7,190.5,9.6,0.5,1.95,2.2,4.7615,0.0155
observation199,1,1,1,1,0,7.85,178.5,10.55,0.85,1.95,3.4,4.985,0.047
observation200,1,1,1,1,0,7.95,181,8.45,0.8,2.3,2.4,3.5115,0.0305
observation201,1,0,1,1,0,7.7,208.5,10,1.25,1.75,2.1,4.763,0.021
observation202,1,0,1,1,0,8,156,9.95,0.65,2.65,7.7,4,0.04
observation203,0,0,1,1,0,7.6,155,10.2,1,2,2.75,3.4725,0.0285
observation204,1,1,1,1,1,7.7,180.5,8.5,0.85,1.95,5.15,4.288,0.0435
observation205,0,1,1,1,0,7.75,193.5,10.15,2.2,3.25,11.3,3.76,0.0335
observation206,1,0,1,1,0,7.7,257.5,10.25,1.15,2.25,5.1,5.546,0.0215
observation207,1,1,1,1,1,7.4,205,9.2,1.3,2.35,4.2,4.6625,0.027
observation208,1,1,1,1,1,7.7,286.5,8.35,0.7,2.7,7.6,5.4595,0.0295
observation209,0,1,0,1,1,7.4,240,9.55,1.25,2.55,10.3,6.0505,0.0445
observation210,1,0,1,1,1,7.95,306,8.55,1.2,2.25,4.5,6.3005,0.0495
observation211,1,1,1,1,0,8,255,10.75,2,3.45,11.6,4.7195,0.0345
observation212,1,1,0,0,1,8.05,299,9.05,0.5,2.3,1.8,8.2895,0.038
observation213,0,0,1,1,0,7.8875,155,10.875,0.55,2.0375,2.225,3.282625,0.017625
observation214,1,1,1,1,0,7.985714286,164.2857143,11.48571429,0.928571429,1.757142857,0.914285714,2.931428571,0.010285714
observation215,1,1,1,1,0,8.5875,135.875,11.3375,1.025,3.4125,11.675,3.298875,0.03425
observation216,0,0,0,1,0,8.628571429,176.8571429,11.15714286,0.928571429,2.542857143,2.557142857,2.618571429,0.020571429
observation217,1,0,1,0,1,8.385714286,143.7142857,10.67142857,1.071428571,3.142857143,6.228571429,3.267285714,0.029857143
observation218,1,0,1,1,1,8.3875,151.375,9.875,1,3.3,2.15,3.094125,0.023375
observation219,1,0,1,1,0,7.925,125.25,11.65,0.9625,3.5,6.3875,2.2765,0.0235
observation220,1,0,1,1,1,8.571428571,174.5714286,10.84285714,0.685714286,2.857142857,3.385714286,2.740714286,0.018857143
observation221,0,0,1,1,1,8.466666667,168.8888889,10.9,1.544444444,3.911111111,8.822222222,2.330888889,0.026444444
observation222,1,1,1,1,1,8.157142857,189.5714286,10.32857143,0.914285714,3.228571429,8.642857143,3.077714286,0.038285714
observation223,1,1,1,1,1,7.988888889,165.2222222,10.98888889,0.966666667,2.944444444,3.966666667,2.703777778,0.015333333
observation224,1,0,1,1,0,8.242857143,242.5714286,10.91428571,0.642857143,2.7,1.985714286,2.029428571,0.008714286
observation225,1,0,1,1,0,7.9125,164.25,10.575,0.8625,3.2875,4.2875,3.126,0.017875
observation226,1,0,1,1,0,8.528571429,222.5714286,11.5,0.657142857,3.014285714,3.814285714,2.709428571,0.019
observation227,1,0,1,1,0,8.6625,188.875,10.325,1.1125,3.45,3.1625,2.59575,0.01925
observation228,1,0,1,1,0,8.3875,212.75,11.15,0.675,2.9375,1.55,4.2785,0.019
observation229,1,1,0,1,1,8.1,210.5,10.2,0.95,2.45,3.8,3.6055,0.017
observation230,0,0,1,1,0,8.35,236.5,8.55,0.8,2,1.4,2.523,0.0125
observation231,1,0,1,1,1,8.2,220,10.75,1.2,1.45,2.1,3.468,0.0095
observation232,1,0,1,1,1,8.15,199,9.15,0.8,1.6,4,2.6655,0.0095
observation233,1,1,0,0,0,8.4,164.5,10.95,0.85,1.75,2.45,2.517,0.0125
observation234,1,1,1,1,1,8.3,209,9.7,0.6,1.8,2.7,2.5005,0.014
observation235,1,0,0,1,1,8.2,195.5,9.5,1.9,2.6,4.6,2.134,0.014
observation236,1,1,0,1,1,8,213.5,9.7,1.1,1.8,6.5,3.006,0.01
observation237,1,0,0,1,0,7.85,180,8.25,1.25,2.35,8.8,2.7115,0.0195
observation238,1,0,1,1,1,8.1,266.5,9.7,0.8,1.45,1.2,2.294,0.0155
observation239,1,0,1,1,1,8.15,234.5,10.6,1.4,1.85,1.3,2.986,0.011
observation240,0,0,1,1,0,8.25,256,9.2,0.95,2.2,3.9,2.792,0.021
observation241,1,0,1,1,0,8.2,246,10.35,1.05,2.5,1.7,2.8945,0.01
observation242,1,0,1,1,1,8,272,11.35,0.85,1.95,0.6,3.2425,0.0145
observation243,1,1,1,1,1,8.475,198.5,11.1875,1.0375,3.5375,14.6,3.337375,0.039375
observation244,0,0,1,1,0,8.428571429,252.5714286,11.05714286,0.628571429,2.514285714,4.4,2.692857143,0.020571429
observation245,1,0,1,1,1,8.242857143,191.2857143,11.14285714,1.385714286,3.8,12.58571429,3.333142857,0.042428571
observation246,1,1,1,1,0,8.3625,225.625,10.025,0.55,3.2625,3.975,3.07775,0.02475
observation247,1,1,1,1,0,7.9125,185,11.7,1.125,3.7375,9.15,2.40975,0.02725
observation248,1,1,1,1,1,8.242857143,241.5714286,10.52857143,0.585714286,2.942857143,3.514285714,2.593142857,0.016285714
observation249,1,0,1,1,1,8.3,216.6666667,10.63333333,1.688888889,4.111111111,8.477777778,2.066888889,0.023888889
observation250,1,1,1,1,0,8.014285714,250.8571429,10.05714286,0.728571429,2.585714286,2.957142857,2.992285714,0.012857143
observation251,1,1,0,1,1,7.9,215.6666667,10.76666667,1.122222222,3.166666667,5.055555556,2.590111111,0.016888889
observation252,1,0,0,1,0,8.071428571,275.8571429,10.55714286,0.514285714,2.671428571,2.557142857,1.838142857,0.008428571
observation253,0,0,1,1,1,7.775,216.625,10.3125,0.8625,3.3125,4.0625,2.8585,0.018375
observation254,1,0,0,1,1,8.328571429,271.8571429,10.58571429,0.514285714,2.842857143,3.4,2.683714286,0.013571429
observation255,1,0,1,1,1,8.242857143,242.2857143,10.55714286,0.785714286,3.3,4.785714286,2.545428571,0.016285714
observation256,1,0,0,0,1,8.371428571,272.5714286,10.08571429,0.442857143,2.657142857,1.8,3.428428571,0.012
observation257,0,0,0,1,0,8.055555556,228,10.33333333,0.866666667,3.4,7.922222222,3.946,0.028666667
observation258,0,0,0,0,1,8.1,249.8571429,10.28571429,0.8,4.114285714,29.07142857,4.000142857,0.086714286
observation259,1,1,0,1,1,8.45,243.75,9.4875,1.15,3.6375,3.925,2.54475,0.02075
observation260,1,1,1,1,1,8.2125,270.875,9.8875,0.675,2.825,2.1875,4.2065,0.01975
observation261,1,0,0,1,0,8.444444444,256.4444444,10.02222222,0.988888889,3.433333333,4.077777778,2.697,0.022111111
observation262,1,1,0,0,0,8.4125,257.125,9.8625,0.55,2.725,4.875,3.91325,0.029125
observation263,1,1,0,1,0,8.7625,243.75,10.5375,0.9125,3.275,5.35,3.590375,0.021375
observation264,1,0,0,1,1,8.9,268.8571429,9.971428571,0.928571429,3.942857143,20.05714286,3.986714286,0.064285714
observation265,1,1,0,0,0,8.275,223.375,12.05,0.6375,2.35,9.3625,3.77675,0.039875
observation266,0,0,1,1,1,8.7,259.375,10.8875,0.3875,3.65,3.625,3.445875,0.02425
observation267,1,0,0,1,0,8.366666667,213.7777778,11.07777778,0.9,2.533333333,2.255555556,3.445111111,0.017
observation268,0,1,1,0,0,8.477777778,235.7777778,12.57777778,1.122222222,2.588888889,2.822222222,3.276777778,0.024333333
observation269,1,1,1,0,0,8.25,210,11.4875,0.8,2.775,4.25,2.643875,0.016625
observation270,1,0,1,1,1,8.455555556,227.4444444,11.25555556,1.155555556,2.555555556,6.522222222,3.450111111,0.063888889
observation271,1,0,1,1,1,8.433333333,182,10.37777778,1.6,3.155555556,5.777777778,2.307222222,0.013666667
observation272,1,0,0,1,0,8.425,246.625,10.8,1.15,2.4625,2.05,3.154375,0.00925
observation273,1,1,0,1,1,8.288888889,229.2222222,11.04444444,1.4,3.588888889,4.144444444,2.783,0.013222222
observation274,1,1,1,1,1,8.75,239.75,10.325,0.9875,3.5,1.9125,2.680625,0.019375
observation275,1,0,1,1,0,8.6,229.625,11.7875,0.95,2.1625,5.7875,2.849125,0.02
observation276,1,0,1,1,0,8.814285714,251.2857143,10.1,1.242857143,2.514285714,3.114285714,2.894142857,0.014857143
observation277,1,0,0,1,1,8,279.5,10.2,1.0125,3.8625,3.025,2.300875,0.017875
observation278,1,0,1,1,1,8.266666667,286.3333333,10.95,0.75,2.316666667,1.35,3.398666667,0.012333333
observation279,1,0,1,1,0,8.533333333,240.8888889,10.84444444,1.044444444,3.155555556,4.055555556,3.025333333,0.017555556
observation280,0,0,0,0,0,8.4375,237.375,11.0625,1.3875,2.325,2.15,3.69525,0.01425
observation281,1,0,1,1,1,8.522222222,280,10.64444444,1.311111111,2.966666667,3.077777778,2.209777778,0.015555556
observation282,1,0,0,0,0,8.733333333,252.6666667,10.45555556,0.6,2.522222222,2.788888889,2.858333333,0.016888889
observation283,1,0,0,1,0,8.5875,266.125,10.7125,1.5375,3.5125,1.6625,1.9945,0.01775
observation284,1,0,0,0,0,8.7,231.25,10.4375,1.075,2.975,17.3625,2.816,0.038375
observation285,0,0,0,0,0,8.533333333,245.3333333,10.62222222,1.533333333,2.977777778,2.966666667,2.839555556,0.019
observation286,1,0,1,1,0,8.65,294,10.4875,0.9625,2.8375,2.2625,3.125125,0.01125
