,Baetis fuscatus,Limnodrilus gotoi,Hydropsyche kozhantschikovi,Teloganopsis punctisetae,Ephemera orientalis,pH,Conductivity,DO,BOD,COD,SS,TN,TP
observation48,1,0,1,1,0,8.15,146,8.4,0.75,1.95,4.9,4.3645,0.039
observation49,1,0,1,0,0,8.4,196,10.3,0.9,2,1.2,3.951,0.0255
observation50,1,0,1,0,0,8.35,152,8.95,0.4,1.9,0.6,4.996,0.022
observation51,1,1,0,1,0,8.575,117.625,10.925,0.675,4.0125,36.2625,2.988,0.095
observation52,1,0,1,1,0,8.9,146.7142857,10.92857143,0.728571429,2.757142857,2.7,3.349428571,0.027285714
observation53,1,1,1,1,1,8.485714286,120.8571429,10.81428571,0.757142857,2.742857143,3.428571429,3.212428571,0.025857143
observation54,1,1,1,1,1,8.3375,139.75,10.425,0.4875,3.2625,2.925,3.953625,0.028875
observation55,0,0,1,1,0,8.25,106.125,12.2875,0.725,2.9625,5.075,2.448875,0.024125
observation56,1,1,1,1,0,8.514285714,161.8571429,11.18571429,0.528571429,2.928571429,2.571428571,3.436571429,0.026
observation57,1,0,1,1,0,8.822222222,121.3333333,11.36666667,1.044444444,3.188888889,5.166666667,2.359555556,0.027777778
observation58,1,1,1,1,0,8.385714286,147.2857143,10.67142857,0.8,3.871428571,4.957142857,3.935,0.019142857
observation59,1,1,1,1,0,8.177777778,139.4444444,11.35555556,0.711111111,2.6,4.011111111,2.731777778,0.016555556
observation60,1,1,1,1,0,8.314285714,173.1428571,11.34285714,0.485714286,2.528571429,2.8,3.668285714,0.012428571
observation61,1,1,1,1,1,8.0625,128,11.05,0.75,2.875,6.675,2.95175,0.029375
observation62,1,1,1,1,1,8.671428571,164.7142857,11.57142857,0.628571429,2.585714286,7.642857143,3.580714286,0.031
observation63,1,1,1,1,0,8.9125,158.375,10.8375,0.9125,2.9875,3.55,2.911875,0.0295
observation64,1,0,1,1,0,8.3625,162.625,10.4625,0.4625,2.3625,1.9625,4.83075,0.0285
observation65,1,1,0,1,1,8.1,159.5,12.6,0.35,2.3,2.75,3.8455,0.0495
observation66,1,1,1,1,0,8.65,196.5,11.5,0.7,3.75,4.55,2.783,0.035
observation67,1,1,1,1,1,8.05,155.5,11.65,0.75,2.7,2.65,3.2795,0.033
observation68,1,1,1,1,0,7.85,188.5,10.75,1,1.8,2,3.0755,0.012
observation69,1,1,1,1,0,8.45,151.5,11.45,0.85,2.75,2.3,2.6935,0.0155
observation70,1,1,1,1,1,8.2,189,8.9,1.55,2.5,3.9,3.8765,0.0315
observation71,1,1,1,1,1,8.45,127,10.9,1.15,3.2,3.35,2.612,0.0115
observation72,1,0,1,1,1,8.2,168,9.45,1,2.2,3.55,3.1555,0.01
observation73,1,0,0,1,1,8.6,168.5,11.05,1.25,3.05,2.45,2.343,0.0135
observation74,1,0,1,1,1,8.8,201,9.85,0.9,3.7,1.65,3.1935,0.013
observation75,1,1,1,1,1,8.4,162.5,12.5,0.75,2,5.65,2.5835,0.0215
observation76,1,0,1,1,1,8.8,182,9.85,1.2,2.2,4.7,3.5525,0.0225
observation77,0,1,0,0,0,8.85,212,12.1,1.3,4.85,22.65,2.581,0.058
observation78,0,1,0,0,0,8.2,179.5,9.6,0.5,2.2,7,2.95,0.0325
observation79,1,1,1,1,0,8.3,291,11.85,0.25,2.25,1.15,4.7025,0.0075
observation80,1,1,1,1,0,8.45,273,13.4,0.45,1.4,2.4,2.5105,0.0175
observation81,1,1,0,1,0,8.1,287,9.6,0.6,2.1,7.8,3.92,0.0255
observation82,1,1,1,1,0,7.65,322.5,10.8,0.75,1.1,1.25,3.181,0.01
observation83,1,0,1,1,0,8.35,278,11.25,0.45,1.55,1.8,2.809,0.0135
observation84,1,1,1,1,0,8,281,10,0.65,1.8,1.25,3.8195,0.026
observation85,0,0,1,1,0,8.45,252,11.55,0.8,1.95,1.25,2.832,0.0095
observation86,1,1,1,1,0,8.15,284.5,12.2,1,1.85,2.55,3.3365,0.006
observation87,1,0,0,1,1,8.3,271,11.35,0.7,2,2.1,2.3845,0.005
observation88,1,0,1,1,0,8.8,329,10.9,0.8,2.8,1.65,3.4835,0.015
observation89,1,0,1,1,1,8.35,313,12.7,0.8,3.35,2.55,3.061,0.013
observation90,1,1,1,1,1,8.6,332,11.2,0.7,1.2,3.5,3.454,0.007
observation91,1,1,0,1,0,8.2,353.5,12.15,0.95,1.45,1.2,2.3455,0.0105
observation92,1,1,1,1,1,8.45,358,10.55,0.55,1.4,1.55,3.308,0.0225
observation93,1,1,0,1,0,8.25,188.5,11.2,0.35,2.35,1.95,3.8425,0.1315
observation94,1,0,1,1,0,8.85,227,13.3,0.45,2.45,3.6,2.6945,0.026
observation95,1,0,1,1,0,8.05,157.5,9.95,0.8,2.15,9.55,3.4525,0.0325
observation96,1,1,1,1,0,7.9,201.5,11.1,1.3,1.65,2.15,3.141,0.0095
observation97,1,1,1,1,0,9.05,127.5,12.5,1.05,3.6,2.35,2.592,0.017
observation98,1,1,1,1,1,8.4,188,8.55,0.6,2.55,11.5,3.8805,0.032
observation99,0,1,1,1,1,8.7,128.5,10.9,1,2.95,3.85,2.6875,0.012
